,country,iso_code,un_region,avocado_trade,size
0,USA,US,Americas,3215264266.0,60.0
1,Mexico,MX,Americas,2835944050.018,52.921510931593204
2,Netherlands,NL,Europe,2248524765.862,41.959688159492636
3,Peru,PE,Americas,1474335363.292,27.512550906918207
4,Spain,ES,Europe,972406795.347,18.146069154497297
5,France,FR,Europe,683944495.937,12.76307835413862
6,Germany,DE,Europe,582614544.709,10.872161598719426
7,Chile,CL,Americas,340911504.531,6.36174465911226
8,Canada,CA,Americas,321828814.401,6.005642854384275
9,UK,GB,Europe,306077789.629,5.711713208751843
10,Israel,IL,Asia,260879538.0,4.86826928831983
11,Morocco,MA,Africa,220850817.218,4.121293908312294
12,Colombia,CO,Americas,203321232.55,3.7941745821648114
13,Japan,JP,Asia,160032015.041,2.9863551198562663
14,South Africa,ZA,Africa,152612523.049,2.8479000870219604
15,China,CN,Asia,151170090.0,2.820982864740985
16,Italy,IT,Europe,147383374.567,2.750319022772357
17,Poland,PL,Europe,141299868.0,2.6367947946459713
18,Kenya,KE,Africa,140943234.14,2.630139655338675
19,Russia,RU,Europe,125153828.322,2.335493781561531
