,movie,year,directors,cinematography,link,genre,imdb_rating,hex_codes
0,My Geisha,1962,Jack Cardiff,Shunichiro Nakao,https://moviesincolor.com/post/50744135792/request-week-2-my-geisha-1962,Comedy,6.5,"#020305, #2d342c, #475675, #ac3c0f, #ba8a3b, #7fa4d0, #ba8ea7"
1,Amarcord,1973,Federico Fellini,Giuseppe Rotunno,https://moviesincolor.com/post/80825788133/federico-fellini-week-amarcord-1973,Comedy,7.8,"#000000, #2e282a, #59544e, #2e6174, #b23630, #8bacbd, #bebb8b"
2,Caddyshack,1980,Harold Ramis,Stevan Larner,https://moviesincolor.com/post/78702213856/harold-ramis-week-caddyshack-1980,Comedy,7.2,"#171719, #2d2a31, #3d55ad, #c33137, #d4ae4d, #7ab6b4, #d0d5c1"
3,Blade Runner,1982,Ridley Scott ,Jordan Cronenweth,https://moviesincolor.com/post/70365481282/ridley-scott-week-blade-runner-1982,Science Fiction & Fantasy,8.1,"#000000, #011e2c, #143848, #26606b, #689399, #bf8a92, #9cb7b4"
4,Laputa Castle in the Sky,1986,Hayao Miyazaki,,https://moviesincolor.com/post/145269683743/i-got-to-make-some-color-palettes-for-the-best,Action & Adventure,8.0,"#14191f, #1d2645, #403369, #5c5992, #ae93be, #b5d9e4, #f0d77b"
5,Wings of Desire,1987,Wim Wenders,Henri Alekan,https://moviesincolor.com/post/82010830285/wim-wenders-week-wings-of-desire-1987,Drama,7.9,"#000000, #212524, #33384b, #8d3031, #4b5741, #b5733f, #a7bfe5"
6,Batman,1989,Tim Burton,Roger Pratt,https://moviesincolor.com/post/58345153577/tim-burton-week-batman-1989-cinematography-roger,Science Fiction & Fantasy,7.5,"#010008, #261617, #321f3d, #175b6e, #944f35, #ae7298, #a1abc2"
7,Edward Scissorhands,1990,Tim Burton,Stefan Czapsky,https://moviesincolor.com/post/58164303774/tim-burton-week-edward-scissorhands-1990,Action & Adventure,7.9,"#0a0104, #271918, #7f2930, #4f3b70, #a65345, #b47b14, #a38470"
8,Only Yesterday,1991,Isao Takahata,,https://moviesincolor.com/post/145269683743/i-got-to-make-some-color-palettes-for-the-best,Drama,7.6,"#061a21, #122e41, #26432f, #4d6d93, #6fb382, #dcca2c, #92bbd9"
9,Until the End of the World,1991,Wim Wenders,Robby Müller,https://moviesincolor.com/post/81964871591/wim-wenders-week-until-the-end-of-the-world-1991,Action & Adventure,6.8,"#000000, #211626, #001f3b, #494156, #466484, #aa5631, #9c9ec1"
10,Short Cuts,1993,Robert Altman,Walt Lloyd,https://moviesincolor.com/post/57982332297/request-week-5-imthebat-short-cuts-1993,Comedy,7.6,"#0f0e13, #082841, #4b1805, #7d1639, #5748c9, #925f26, #6d7393"
11,Mars Attacks,1995,Tim Burton,Peter Suschitzky,https://moviesincolor.com/post/58717319441/tim-burton-week-mars-attacks-1995,Comedy,6.4,"#292030, #892128, #324e38, #544c85, #6f6f97, #9594c0, #bab6ec"
12,Ghost Dog: The Way of the Samurai,1999,Jim Jarmusch,Robby Müller,https://moviesincolor.com/post/62184497642/jim-jarmusch-week-ghost-dog-the-way-of-the,Drama,7.5,"#030303, #181b2e, #163140, #770818, #42747d, #cf9e75, #a68dad"
13,Traffic,2000,Steven Soderbergh,Steven Soderbergh,https://moviesincolor.com/post/75340803304/steven-soderbergh-week-traffic-2000,Drama,7.6,"#330100, #814c20, #8e6d3b, #9e8a58, #a9a578, #bbba9e, #b5ccda"
14,Human Nature,2001,Michel Gondry,Tim Maurice-Jones,https://moviesincolor.com/post/56440204573/michel-gondry-week-human-nature-2001,Comedy,6.4,"#000000, #331900, #494843, #95380c, #a24e12, #fdc729, #e7e4b5"
15,Punch-Drunk Love,2002,Philip Seymour Hoffman,Robert Elswit,https://moviesincolor.com/post/75942192985/philip-seymour-hoffman-week-punch-drunk-love-2002,Comedy,7.3,"#0d0b0e, #0819a5, #3d383c, #c33e39, #a18524, #9f7954, #a5abb8"
16,Finding Nemo,2003,Andrew Stanton Lee Unkrich,,https://moviesincolor.com/post/52152077168/pixar-week-finding-nemo-2003-directors-andrew,Comedy,8.2,"#0744c1, #3855d3, #8a5cbe, #1e7df1, #996dda, #fe7357, #6e89fa"
17,Eternal Sunshine of the Spotless Mind,2004,Michel Gondry,Ellen Kuras,https://moviesincolor.com/post/56705017567/michel-gondry-week-eternal-sunshine-of-the,Drama,8.3,"#1c1235, #7e1b30, #592353, #4f467d, #5479a3, #777c73, #98b3c8"
18,Mean Girls,2004,Mark Waters,Daryn Okada,https://moviesincolor.com/post/80185061722/request-week-12-slightlyboringg-mean-girls,Comedy,7.1,"#0a0e29, #1d173a, #133c58, #4b2609, #923931, #2e6d76, #a5947a"
19,Sunshine,2007,Danny Boyle,Alwin Kuchler,https://moviesincolor.com/post/57441528517/danny-boyle-week-sunshine-2007,Science Fiction & Fantasy,7.2,"#091113, #103138, #314452, #ad3000, #3a6575, #ae6e62, #e39456"
20,Mamma Mia,2008,Phyllida Lloyd,Haris Zambarloukos,https://moviesincolor.com/post/72020288585/request-week-10-is-it-me-for-a-moment-mamma-mia,Comedy,6.5,"#1e1212, #2f1f27, #9b0417, #9b0f40, #228fb6, #39b255, #dea919"
21,Be Kind Rewind,2008,Michel Gondry,Ellen Kuras,https://moviesincolor.com/post/56531835074/michel-gondry-week-be-kind-rewind-2008,Comedy,6.4,"#1c0a08, #35261f, #123f3c, #4b3c1b, #477761, #e07d06, #ee9d8c"
22,Doubt,2008,John Patrick Shanley,Roger Deakins,https://moviesincolor.com/post/76378825947/philip-seymour-hoffman-week-doubt-2008,Drama,7.5,"#080808, #311a10, #7e7416, #317079, #342417, #91a098, #cebf9c"
23,Broken Embraces,2009,Pedro Almodovar,Rodrigo Prieto,https://moviesincolor.com/post/53290637587/pedro-almodovar-week-broken-embraces-2009,Drama,7.2,"#0f0100, #182120, #1e3c40, #810700, #a16917, #6e7d37, #a5aeb5"
24,The Green Hornet,2011,Michel Gondry,John Schwartzman,https://moviesincolor.com/post/56618875882/michel-gondry-week-the-green-hornet-2011,Action & Adventure,5.8,"#002822, #174a45, #086463, #228082, #58a198, #91c19b, #daedd1"
25,Prometheus,2012,Ridley Scott ,Dariusz Wolski,https://moviesincolor.com/post/57626494078/request-week-5-hypergif-prometheus-2012,Action & Adventure,7.0,"#060309, #0e222b, #1a3c55, #367996, #01a477, #51a4c4, #99d1d0"
26,The Wolf of Wall Street,2013,Martin Scorsese,Rodrigo Prieto,https://moviesincolor.com/post/78354665650/oscars-week-the-wolf-of-wall-street-2013,Comedy,8.2,"#121116, #1f2836, #723443, #a87b5a, #988080, #a0a5ab, #d1c4ac"
27,When Marnie Was There,2014,Hiromasa Yonebayashi,,https://moviesincolor.com/post/145269683743/i-got-to-make-some-color-palettes-for-the-best,Drama,7.6,"#1d271c, #274637, #2c715f, #44a57c, #819a7a, #58a449, #cec917"
